time_observed_at,time_zone,latitude,longitude
2019-07-24 18:06:51 UTC,Pacific Time (US & Canada),48.44408,-123.3451466667
2019-07-24 18:09:30 UTC,Pacific Time (US & Canada),48.444325,-123.3447283333
2019-07-24 23:13:10 UTC,Pacific Time (US & Canada),48.4534833333,-123.3388133333
2019-07-24 23:17:36 UTC,Pacific Time (US & Canada),48.45347,-123.338355
2019-07-24 23:27:23 UTC,Pacific Time (US & Canada),48.45459,-123.339502
2019-07-24 23:29:35 UTC,Pacific Time (US & Canada),48.4550783333,-123.3395616667
2019-07-24 23:33:19 UTC,Pacific Time (US & Canada),48.4552583333,-123.3386
2019-07-24 23:36:57 UTC,Pacific Time (US & Canada),48.4551916667,-123.3369533333
2019-07-24 23:40:20 UTC,Pacific Time (US & Canada),48.45513,-123.3357166667
2019-07-25 00:22:08 UTC,Pacific Time (US & Canada),48.509349,-123.43682945
2019-07-25 00:29:00 UTC,Pacific Time (US & Canada),48.50876591,-123.43768377
2019-07-25 00:42:04 UTC,Pacific Time (US & Canada),48.50916999,-123.43978674
2019-07-25 00:43:02 UTC,Pacific Time (US & Canada),48.50905698,-123.43980021
2019-07-25 00:45:45 UTC,Pacific Time (US & Canada),48.5091938,-123.44009927
2019-07-25 00:49:05 UTC,Pacific Time (US & Canada),48.50930724,-123.44021556
2019-07-03 20:03:04 UTC,Eastern Time (US & Canada),48.5642051642,-123.4688186646
2019-07-27 18:36:48 UTC,Pacific Time (US & Canada),48.4508083333,-123.3394383333
2019-07-27 21:24:00 UTC,Pacific Time (US & Canada),48.4515416667,-123.3390416667
2019-07-27 21:36:45 UTC,Pacific Time (US & Canada),48.4513666667,-123.3391633333
2019-07-27 22:07:21 UTC,Pacific Time (US & Canada),48.455095,-123.3389366667
2019-07-27 22:08:51 UTC,Pacific Time (US & Canada),48.4549716667,-123.33867
2019-07-27 22:10:29 UTC,Pacific Time (US & Canada),48.455045,-123.3386083333
2019-07-27 22:12:39 UTC,Pacific Time (US & Canada),48.455155,-123.3374466667
2019-07-27 22:15:09 UTC,Pacific Time (US & Canada),48.4551716667,-123.33673
2019-07-27 22:16:10 UTC,Pacific Time (US & Canada),48.455095,-123.3364416667
2019-07-27 22:23:01 UTC,Pacific Time (US & Canada),48.45418,-123.33773
2019-07-27 22:25:08 UTC,Pacific Time (US & Canada),48.4542083333,-123.338455
2019-07-27 22:27:09 UTC,Pacific Time (US & Canada),48.4541866667,-123.3387916667
2019-07-27 22:28:52 UTC,Pacific Time (US & Canada),48.4543416667,-123.3385916667
2019-07-27 22:30:00 UTC,Pacific Time (US & Canada),48.4543083333,-123.3386
2019-07-27 22:35:56 UTC,Pacific Time (US & Canada),48.4543583333,-123.3376166667
2019-07-27 22:37:20 UTC,Pacific Time (US & Canada),48.454425,-123.33738
2019-07-27 22:39:04 UTC,Pacific Time (US & Canada),48.4545133333,-123.3372033333
2019-07-27 22:49:50 UTC,Pacific Time (US & Canada),48.4551283333,-123.3395383333
2019-07-30 00:16:07 UTC,Pacific Time (US & Canada),48.50949451,-123.43988708
2019-07-30 00:44:38 UTC,Pacific Time (US & Canada),48.50937476,-123.43682686
2019-07-30 00:54:33 UTC,Pacific Time (US & Canada),48.50907574,-123.43952865
2019-07-30 00:57:58 UTC,Pacific Time (US & Canada),48.50875688,-123.43987595
2019-07-30 20:25:30 UTC,Pacific Time (US & Canada),48.48812433,-123.30137896
2019-07-30 20:30:37 UTC,Pacific Time (US & Canada),48.48754613,-123.30097354
2019-07-30 20:32:46 UTC,Pacific Time (US & Canada),48.48750851,-123.30129772
2019-07-30 20:35:07 UTC,Pacific Time (US & Canada),48.48759708,-123.30199179
2019-07-30 20:37:14 UTC,Pacific Time (US & Canada),48.4876224,-123.30217979
2019-07-30 20:38:07 UTC,Pacific Time (US & Canada),48.48758819,-123.30224168
2019-07-30 20:39:25 UTC,Pacific Time (US & Canada),48.48750807,-123.30240174
2019-07-30 20:42:29 UTC,Pacific Time (US & Canada),48.48769994,-123.30256253
2019-07-30 21:02:34 UTC,Pacific Time (US & Canada),48.48713897,-123.30089317
2019-07-30 21:07:15 UTC,Pacific Time (US & Canada),48.48774454,-123.3007771
2019-07-30 21:09:09 UTC,Pacific Time (US & Canada),48.48782453,-123.30096059
2019-07-30 21:16:39 UTC,Pacific Time (US & Canada),48.48877461,-123.30114919
2019-07-30 21:18:33 UTC,Pacific Time (US & Canada),48.48833049,-123.30126971
2019-07-30 19:11:50 UTC,Pacific Time (US & Canada),48.5136347856,-123.530909786
2019-07-29 12:18:00 UTC,Pacific Time (US & Canada),48.5089954173,-123.4398823675
